tourney_date,tourney_id,tourney_name,surface,player_id,player_name,player_rank,player_ioc,round,opponent_id,opponent_name,opponent_rank,opponent_ioc,tourney_winner
20160111,2016-M001,Sydney,Hard,105173,Adrian Mannarino,44,FRA,R32,103917,Nicolas Mahut,71,FRA,no
20160118,2016-580,Australian Open,Hard,105173,Adrian Mannarino,48,FRA,R128,105032,Samuel Groth,67,AUS,no
20160201,2016-7434,Sofia,Hard,105173,Adrian Mannarino,49,FRA,QF,105138,Roberto Bautista Agut,18,ESP,no
20160215,2016-0499,Delray Beach,Hard,105173,Adrian Mannarino,49,FRA,QF,105777,Grigor Dimitrov,28,BUL,no
20160222,2016-M004,Acapulco,Hard,105173,Adrian Mannarino,58,FRA,R16,106071,Bernard Tomic,21,AUS,no
20160307,2016-M006,Indian Wells Masters,Hard,105173,Adrian Mannarino,60,FRA,R32,104545,John Isner,11,USA,no
20160321,2016-M007,Miami Masters,Hard,105173,Adrian Mannarino,64,FRA,R32,105723,Andrey Kuznetsov,51,RUS,no
20160411,2016-0410,Monte Carlo Masters,Clay,105173,Adrian Mannarino,73,FRA,R64,106121,Taro Daniel,90,JPN,no
20160418,2016-0773,Bucharest,Clay,105173,Adrian Mannarino,75,FRA,R32,104593,Daniel Gimeno Traver,125,ESP,no
20160425,2016-7163,Istanbul,Clay,105173,Adrian Mannarino,77,FRA,R32,105077,Albert Ramos,57,ESP,no
20160516,2016-6120,Nice,Clay,105173,Adrian Mannarino,63,FRA,SF,106233,Dominic Thiem,15,AUT,no
20160523,2016-520,Roland Garros,Clay,105173,Adrian Mannarino,58,FRA,R64,105683,Milos Raonic,9,CAN,no
20160606,2016-M010,s-Hertogenbosch,Grass,105173,Adrian Mannarino,55,FRA,QF,103333,Ivo Karlovic,28,CRO,no
20160613,2016-0311,London,Grass,105173,Adrian Mannarino,57,FRA,R16,105449,Steve Johnson,39,USA,no
20160620,2016-0741,Nottingham,Grass,105173,Adrian Mannarino,54,FRA,R16,104312,Andreas Seppi,57,ITA,no
20160627,2016-540,Wimbledon,Grass,105173,Adrian Mannarino,55,FRA,R64,104925,Novak Djokovic,1,SRB,no
20160711,2016-0315,Newport,Grass,105173,Adrian Mannarino,55,FRA,QF,104180,Gilles Muller,39,LUX,no
20160718,2016-M035,Washington,Hard,105173,Adrian Mannarino,55,FRA,R32,105449,Steve Johnson,25,USA,no
20160801,2016-6116,Atlanta,Hard,105173,Adrian Mannarino,67,FRA,R16,104545,John Isner,17,USA,no
20160808,2016-7480,Los Cabos,Hard,105173,Adrian Mannarino,66,FRA,R32,104999,Mischa Zverev,135,GER,no
20160815,2016-M024,Cincinnati Masters,Hard,105173,Adrian Mannarino,58,FRA,R64,104755,Richard Gasquet,15,FRA,no
20160829,2016-560,Us Open,Hard,105173,Adrian Mannarino,54,FRA,R128,105992,Ryan Harrison,120,USA,no
20160926,2016-7581,Chengdu,Hard,105173,Adrian Mannarino,62,FRA,R16,111575,Karen Khachanov,101,RUS,no
20160919,2016-0568,St.Petersburg,Hard,105173,Adrian Mannarino,62,FRA,R32,105575,Ricardas Berankis,83,LTU,no
20161003,2016-M015,Beijing,Hard,105173,Adrian Mannarino,64,FRA,R16,104745,Rafael Nadal,4,ESP,no
20161017,2016-0429,Stockholm,Hard,105173,Adrian Mannarino,53,FRA,R16,100644,Alexander Zverev,20,GER,no
